Invoice_ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating;;;;;;;;;;;;;;;;;;
75016718428,2,2,1,74.69,7,261415,5489715,152019,0,547222222222222,522.83,261415,9.1;;;;;;Invoice_ID;Branch;Customer type;1;Unit price;Quantity;Tax 5%;Total;Date;Time;cogs;gross income;Rating
22613113081,1,1,2,15.28,5,3.82,80.22,382019,0,436805555555556,76.4,3.82,9.6;;;;;;75016718428;2;2;1;74.69;7;261.415;5.489.715;152019;13:08;522.83;261.415;9.1
63114113108,3,1,2,46.33,7,162155,3405255,332019,0,557638888888889,324.31,162155,7.4;;;;;;22613113081;1;1;2;15.28;5;3.82;80.22;382019;10:29;76.4;3.82;9.6
12311911176,1,2,2,58.22,8,23288,489048,1272019,0,85625,465.76,23288,8.4;;;;;;63114113108;3;1;2;46.33;7;162.155;3.405.255;332019;13:23;324.31;162.155;7.4
37317317910,1,1,2,86.31,7,302085,6343785,282019,0,442361111111111,604.17,302085,5.3;;;;;;12311911176;1;2;2;58.22;8;23.288;489.048;1272019;20:33;465.76;23.288;8.4
69911413026,1,1,1,85.39,7,298865,6276165,3252019,0,770833333333333,597.73,298865,4.1;;;;;;37317317910;1;1;2;86.31;7;302.085;6.343.785;282019;10:37;604.17;302.085;5.3
35515315943,3,2,1,68.84,6,20652,433692,2252019,0,608333333333333,413.04,20652,5.8;;;;;;69911413026;1;1;1;85.39;7;298.865;6.276.165;3252019;18:30;597.73;298.865;4.1
31512215665,1,1,1,73.56,10,36.78,772.38,2242019,0,484722222222222,735.6,36.78,8;;;;;;35515315943;3;2;1;68.84;6;20.652;433.692;2252019;14:36;413.04;20.652;5.8
66513219167,3,2,1,36.26,2,3626,76146,1102019,0,71875,72.52,3626,7.2;;;;;;31512215665;1;1;1;73.56;10;36.78;772.38;2242019;11:38;735.6;36.78;8
69219215582,1,2,1,54.84,3,8226,172746,2202019,0,560416666666667,164.52,8226,5.9;;;;;;66513219167;3;2;1;36.26;2;3.626;76.146;1102019;17:15;72.52;3.626;7.2
35116210822,2,2,2,14.48,4,2896,60816,262019,0,754861111111111,57.92,2896,4.5;;;;;;69219215582;1;2;1;54.84;3;8.226;172.746;2202019;13:27;164.52;8.226;5.9
52915613974,2,2,1,25.51,4,5102,107142,392019,0,710416666666667,102.04,5102,6.8;;;;;;35116210822;2;2;2;14.48;4;2.896;60.816;262019;18:07;57.92;2.896;4.5
36516410515,2,1,2,46.95,5,117375,2464875,2122019,0,434027777777778,234.75,117375,7.1;;;;;;52915613974;2;2;1;25.51;4;5.102;107.142;392019;17:03;102.04;5.102;6.8
25215612699,1,1,1,43.19,10,21595,453495,272019,0,7,431.9,21595,8.2;;;;;;36516410515;2;1;2;46.95;5;117.375;2.464.875;2122019;10:25;234.75;117.375;7.1
82913413910,1,1,1,71.38,10,35.69,749.49,3292019,0,80625,713.8,35.69,5.7;;;;;;25215612699;1;1;1;43.19;10;21.595;453.495;272019;16:48;431.9;21.595;8.2
29914611805,1,2,1,93.72,6,28116,590436,1152019,0,679861111111111,562.32,28116,4.5;;;;;;82913413910;1;1;1;71.38;10;35.69;749.49;3292019;19:21;713.8;35.69;5.7
65619519349,2,2,2,68.93,7,241255,5066355,3112019,0,460416666666667,482.51,241255,4.6;;;;;;29914611805;1;2;1;93.72;6;28.116;590.436;1152019;16:19;562.32;28.116;4.5
76512616951,1,1,2,72.61,6,21783,457443,112019,0,44375,435.66,21783,6.9;;;;;;65619519349;2;2;2;68.93;7;241.255;5.066.355;3112019;11:03;482.51;241.255;4.6
32916211586,1,1,1,54.67,3,82005,1722105,1212019,0,75,164.01,82005,8.6;;;;;;76512616951;1;1;2;72.61;6;21.783;457.443;112019;10:39;435.66;21.783;6.9
31915013348,1,1,2,40.3,2,4.03,84.63,3112019,0,645833333333333,80.6,4.03,4.4;;;;;;32916211586;1;1;1;54.67;3;82.005;1.722.105;1212019;18:00;164.01;82.005;8.6
30017114605,2,2,2,86.04,5,21.51,451.71,2252019,0,475,430.2,21.51,4.8;;;;;;31915013348;1;1;2;40.3;2;4.03;84.63;3112019;15:30;80.6;4.03;4.4
37118515789,3,1,2,87.98,3,13197,277137,352019,0,444444444444444,263.94,13197,5.1;;;;;;30017114605;2;2;2;86.04;5;21.51;451.71;2252019;11:24;430.2;21.51;4.8
27311616619,2,1,2,33.2,2,3.32,69.72,3152019,0,513888888888889,66.4,3.32,4.4;;;;;;37118515789;3;1;2;87.98;3;13.197;277.137;352019;10:40;263.94;13.197;5.1
63614818204,2,1,2,34.56,5,8.64,181.44,2172019,0,46875,172.8,8.64,9.9;;;;;;27311616619;2;1;2;33.2;2;3.32;69.72;3152019;12:20;66.4;3.32;4.4
54915911358,1,2,1,88.63,3,132945,2791845,322019,0,733333333333333,265.89,132945,6;;;;;;63614818204;2;1;2;34.56;5;8.64;181.44;2172019;11:15;172.8;8.64;9.9
22710315010,1,2,2,52.59,8,21036,441756,3222019,0,805555555555555,420.72,21036,8.5;;;;;;54915911358;1;2;1;88.63;3;132.945;2.791.845;322019;17:36;265.89;132.945;6
64912916775,1,1,1,33.52,1,1676,35196,282019,0,646527777777778,33.52,1676,6.7;;;;;;22710315010;1;2;2;52.59;8;21.036;441.756;3222019;19:20;420.72;21.036;8.5
18911714241,2,1,1,87.67,2,8767,184107,3102019,0,511805555555556,175.34,8767,7.7;;;;;;64912916775;1;1;1;33.52;1;1.676;35.196;282019;15:31;33.52;1.676;6.7
14519419061,1,1,2,88.36,5,22.09,463.89,1252019,0,825,441.8,22.09,9.6;;;;;;18911714241;2;1;1;87.67;2;8.767;184.107;3102019;12:17;175.34;8.767;7.7
84816217243,2,1,2,24.89,9,112005,2352105,3152019,0,65,224.01,112005,7.4;;;;;;14519419061;1;1;2;88.36;5;22.09;463.89;1252019;19:48;441.8;22.09;9.6
87117918483,1,1,2,94.13,5,235325,4941825,2252019,0,81875,470.65,235325,4.8;;;;;;84816217243;2;1;2;24.89;9;112.005;2.352.105;3152019;15:36;224.01;112.005;7.4
14917116266,2,2,2,78.07,9,351315,7377615,1282019,0,529861111111111,702.63,351315,4.5;;;;;;87117918483;1;1;2;94.13;5;235.325;4.941.825;2252019;19:39;470.65;235.325;4.8
64014912076,2,1,2,83.78,8,33512,703752,1102019,0,617361111111111,670.24,33512,5.1;;;;;;14917116266;2;2;2;78.07;9;351.315;7.377.615;1282019;12:43;702.63;351.315;4.5
