Branch;City;Customer type;Gender;Unit price;Quantity;Tax 5%;Total;Time;Payment;cogs;gross income;Rating;;Branch,City,Customer type,Gender,Unit price,Quantity,Tax 5%,Total,Time,Payment,cogs,gross income,Rating
1;1;1;2;74.69;7;261.415;5.489.715;13:08;1;522.83;261.415;9.1;;1,1,1,2,74.69,7,261415,5489715,0,547222222222222,1,522.83,261415,9.1
3;2;2;2;15.28;5;3.82;80.22;10:29;2;76.4;3.82;9.6;;3,2,2,2,15.28,5,3.82,80.22,0,436805555555556,2,76.4,3.82,9.6
1;1;2;1;46.33;7;162.155;3.405.255;13:23;3;324.31;162.155;7.4;;1,1,2,1,46.33,7,162155,3405255,0,557638888888889,3,324.31,162155,7.4
1;1;1;1;58.22;8;23.288;489.048;20:33;1;465.76;23.288;8.4;;1,1,1,1,58.22,8,23288,489048,0,85625,1,465.76,23288,8.4
1;1;2;1;86.31;7;302.085;6.343.785;10:37;1;604.17;302.085;5.3;;1,1,2,1,86.31,7,302085,6343785,0,442361111111111,1,604.17,302085,5.3
3;2;2;1;85.39;7;298.865;6.276.165;18:30;1;597.73;298.865;4.1;;3,2,2,1,85.39,7,298865,6276165,0,770833333333333,1,597.73,298865,4.1
1;1;1;2;68.84;6;20.652;433.692;14:36;1;413.04;20.652;5.8;;1,1,1,2,68.84,6,20652,433692,0,608333333333333,1,413.04,20652,5.8
3;2;2;2;73.56;10;36.78;772.38;11:38;1;735.6;36.78;8;;3,2,2,2,73.56,10,36.78,772.38,0,484722222222222,1,735.6,36.78,8
1;1;1;2;36.26;2;3.626;76.146;17:15;3;72.52;3.626;7.2;;1,1,1,2,36.26,2,3626,76146,0,71875,3,72.52,3626,7.2
2;3;1;2;54.84;3;8.226;172.746;13:27;3;164.52;8.226;5.9;;2,3,1,2,54.84,3,8226,172746,0,560416666666667,3,164.52,8226,5.9
2;3;1;2;14.48;4;2.896;60.816;18:07;1;57.92;2.896;4.5;;2,3,1,2,14.48,4,2896,60816,0,754861111111111,1,57.92,2896,4.5
2;3;1;1;25.51;4;5.102;107.142;17:03;2;102.04;5.102;6.8;;2,3,1,1,25.51,4,5102,107142,0,710416666666667,2,102.04,5102,6.8
1;1;2;2;46.95;5;117.375;2.464.875;10:25;1;234.75;117.375;7.1;;1,1,2,2,46.95,5,117375,2464875,0,434027777777778,1,234.75,117375,7.1
1;1;2;1;43.19;10;21.595;453.495;16:48;1;431.9;21.595;8.2;;1,1,2,1,43.19,10,21595,453495,0,7,1,431.9,21595,8.2
1;1;2;2;71.38;10;35.69;749.49;19:21;2;713.8;35.69;5.7;;1,1,2,2,71.38,10,35.69,749.49,0,80625,2,713.8,35.69,5.7
2;3;1;2;93.72;6;28.116;590.436;16:19;2;562.32;28.116;4.5;;2,3,1,2,93.72,6,28116,590436,0,679861111111111,2,562.32,28116,4.5
1;1;1;2;68.93;7;241.255;5.066.355;11:03;3;482.51;241.255;4.6;;1,1,1,2,68.93,7,241255,5066355,0,460416666666667,3,482.51,241255,4.6
1;1;2;1;72.61;6;21.783;457.443;10:39;3;435.66;21.783;6.9;;1,1,2,1,72.61,6,21783,457443,0,44375,3,435.66,21783,6.9
1;1;2;1;54.67;3;82.005;1.722.105;18:00;3;164.01;82.005;8.6;;1,1,2,1,54.67,3,82005,1722105,0,75,3,164.01,82005,8.6
2;3;2;2;40.3;2;4.03;84.63;15:30;1;80.6;4.03;4.4;;2,3,2,2,40.3,2,4.03,84.63,0,645833333333333,1,80.6,4.03,4.4
3;2;1;1;86.04;5;21.51;451.71;11:24;1;430.2;21.51;4.8;;3,2,1,1,86.04,5,21.51,451.71,0,475,1,430.2,21.51,4.8
2;3;2;1;87.98;3;13.197;277.137;10:40;1;263.94;13.197;5.1;;2,3,2,1,87.98,3,13197,277137,0,444444444444444,1,263.94,13197,5.1
2;3;2;1;33.2;2;3.32;69.72;12:20;3;66.4;3.32;4.4;;2,3,2,1,33.2,2,3.32,69.72,0,513888888888889,3,66.4,3.32,4.4
1;1;2;1;34.56;5;8.64;181.44;11:15;1;172.8;8.64;9.9;;1,1,2,1,34.56,5,8.64,181.44,0,46875,1,172.8,8.64,9.9
1;1;1;1;88.63;3;132.945;2.791.845;17:36;1;265.89;132.945;6;;1,1,1,1,88.63,3,132945,2791845,0,733333333333333,1,265.89,132945,6
1;1;1;2;52.59;8;21.036;441.756;19:20;3;420.72;21.036;8.5;;1,1,1,2,52.59,8,21036,441756,0,805555555555555,3,420.72,21036,8.5
2;3;2;1;33.52;1;1.676;35.196;15:31;2;33.52;1.676;6.7;;2,3,2,1,33.52,1,1676,35196,0,646527777777778,2,33.52,1676,6.7
1;1;2;2;87.67;2;8.767;184.107;12:17;3;175.34;8.767;7.7;;1,1,2,2,87.67,2,8767,184107,0,511805555555556,3,175.34,8767,7.7
2;3;2;2;88.36;5;22.09;463.89;19:48;2;441.8;22.09;9.6;;2,3,2,2,88.36,5,22.09,463.89,0,825,2,441.8,22.09,9.6
